Rank,NCTId,HealthyVolunteers,Gender,MinimumAge,MaximumAge,EligibilityCriteria
760,NCT04745754,No,All,21,,"Inclusion Criteria:||Patients: Adult (21+) Kaiser Permanente Southern California members diagnosed and treated for pathologically confirmed first primary early-stage breast (stage 0, I, II) or colorectal (stage I, II) cancer within Kaiser Permanente Southern California. Completed active cancer treatment within the past 6-14 months; active treatment includes cancer-directed surgery, chemotherapy (includes Herceptin (Trastuzumab)), radiation therapy, and ovarian suppression therapy (e.g., Goserelin (Zoladex)). Completed at least one office visit within Kaiser Permanente Southern California medical oncology. At low-risk for cancer recurrence and treatment-related toxicities based on state of disease and treatment modalities. For our Aim 2 survey: Primary language of English or Spanish (although we will assess our Aim 1 participants for recorded preferred spoken language and adjust translations as needed). Ability to complete surveys of patient-reported outcomes.|Physicians: For centers assigned to the embedded primary care physician (PCP) model, PCPs selected to participate must be Board Certified in a relevant primary care specialty; hold a valid and current MD or advanced practitioner license; and be employed by the Southern California Permanente Medical Group.||Exclusion criteria:||Patients less than 21 years of age|Patients at high risk for recurrence and treatment-related toxicities based on stage of disease and treatment modalities"
761,NCT03111615,No,Female,50,,Inclusion Criteria: Menopausal woman of equal or above 50 y.o. with breast biopsy of Luminal like breast carcinoma||Exclusion Criteria:||informed consent|<50 y.o.|Pre-menopausal state
762,NCT01698918,No,Female,18,,"Inclusion Criteria:||Patients 18 years old or greater|Patients with metastatic or locally advanced, unresectable breast cancer not amenable to curative treatment by surgery or radiotherapy|Histological or cytological confirmation of estrogen-receptor positive (ER+) human epidermal growth factor receptor 2 negative (HER2-) breast cancer|Postmenopausal women|No prior treatment for metastatic breast cancer||Exclusion Criteria:||Patients with only non-measurable lesions other than bone metastases (e.g., pleural effusion, ascites, etc)|Patients who have received prior hormonal or any other systemic therapy for metastatic breast cancer.|Patients may have received prior neoadjuvant or adjuvant endocrine therapy. In the case of neoadjuvant or adjuvant NSAI (letrozole/anastrozole) therapy patients must have completed therapy at least 1 year prior to study enrollment.|Previous treatment with mTOR inhibitors.|Known hypersensitivity to mTOR inhibitors, e.g., sirolimus (rapamycin).|Other protocol-defined inclusion/exclusion criteria may apply"
763,NCT00320541,No,Female,18,,Inclusion Criteria:||Females diagnosed with breast cancer and the cancer has spread to distant areas of the breast or organs.|Must be able to measure the disease by specific medical parameters|May have received breast cancer treatment in the early stage of the disease|May be restricted in physically strenuous activity but able to carry out light work.|Must have adequate organ function as seen in blood test results.||Exclusion||Criteria:||Cancer that has spread to the brain.|Unstable heart problems|Unstable high blood pressure.|Breast cancer treatment after the disease has considered to spread to other areas or organs.|Unable to agree with the requirements of the study
764,NCT01738438,No,All,18,,"Inclusion Criteria:||Histologically or cytologically confirmed invasive breast cancer with stage IV disease|Primary tumor and/or metastasis must be ER-negative, PR-negative and HER2-negative|May have received 0-3 prior chemotherapeutic regimens for metastatic breast cancer. Must be off treatment for at least 21 days prior to enrollment|Must have discontinued all biologic therapy at least 14 days before enrollment|May have received prior radiation therapy in the early stage or metastatic setting, but must have completed treatment at least 14 days prior to enrollment|Must agree to use medically acceptable methods of contraception|Confirmed availability of formalin-fixed, paraffin-embedded tumor tissue|Able to swallow tablets||Exclusion Criteria:||Pregnant or breastfeeding|Received another investigational agent within 14 days prior to enrollment|Received prior c-Met inhibitor|Known brain metastases that are untreated, symptomatic or require therapy to control symptoms|Psychiatric illness or social situation that could limit ability to comply with study requirements|Require concomitant treatment in therapeutic doses with anticoagulants or antiplatelet agents|Diagnosis of another malignancy requiring systemic treatment within the last two years (except non-melanoma skin cancer or in-situ carcinoma of the cervix)|Known to be positive for HIV|Active infection requiring IV antibiotics at Day 1 of cycle 1|Uncontrolled, significant intercurrent illness|Requires chronic concomitant treatment of a strong CYP3A4 inducer|tumor in contact with, invading or encasing major blood vessels|Have experienced clinically significant gastrointestinal bleeding within 6 months, hemoptysis of more than 0.5 teaspoon of red blood within 3 months or other signs indicative of pulmonary hemorrhage within 3 months of enrollment"
765,NCT01654432,No,Female,18,85,"Inclusion Criteria:||Patients diagnosed with breast cancer at stage T1-3, N0-2, M0, presenting for unilateral complete or partial mastectomy with or without sentinel lymph node dissection, with or without implant insertion|ASA physical status I-II|18-85 years of age, inclusive|BMI ≤ 35||Exclusion Criteria:||Contraindications to paravertebral nerve block (e.g., allergy to local anesthetics, coagulopathy, malignancy or infection in the back area)|Pregnancy|History of alcohol or drug dependency/abuse|History of significant psychiatric conditions that may affect patient assessment"
766,NCT01077648,No,Female,30,,"Inclusion Criteria:||Initially diagnosed with American Joint Commission on Cancer (AJCC) stage III or stage IV breast cancer between January 1, 1995 through December 31, 2007 -OR- diagnosed with AJCC stage I or II breast cancer and progressed to stage III or IV disease between January 1, 1995 through December 31, 2007;|At least one year of follow-up after initial diagnosis (among patients who did not die before one year of follow-up); and|Age 30 years or older at diagnosis.||Exclusion Criteria:||Does not have at least one year of follow-up after initial diagnosis (among patients who did not die before one year of follow-up); and|Age less than 30 years or older at diagnosis."
767,NCT00077376,No,All,18,,"Inclusion Criteria:||Patients with histologically confirmed adenocarcinoma of the breast which is metastatic and is known to overexpress HER2/neu who have received no prior chemotherapy for metastatic breast cancer; prior hormonal therapy for metastatic disease is allowed; NOTE: for this protocol, HER2 overexpression will be defined as 3+ HER2 positivity as measured by immunohistochemistry using the HercepTest (DAKO) or HER2 gene amplification as measured by fluorescent in-situ hybridization (FISH, e.g. Vysis); representative diagnostic tissue must be submitted for central diagnostic review|Patients must not be pregnant or breast feeding because of the teratogenic potential of these drugs; it is recommended that all females of childbearing potential have a blood test or urine study within 2 weeks prior to registration to rule out pregnancy; women of childbearing potential and sexually active males must be strongly advised to use an accepted and effective non-hormonal method of contraception|Patients must have at least one objective measurable disease parameter; baseline measurements and evaluations using RECIST criteria guidelines must be obtained within 4 weeks prior to registration to the study; NOTE: all areas of disease should be recorded and followed|Patients must have an ECOG performance status of 0 or 1|Patients must be disease free of prior malignancy for >= 5 years with the exception of curatively treated basal cell carcinoma or squamous cell carcinomas of the skin or carcinoma in situ of the cervix|Patients must not have a history of untreated brain metastasis or brain metastasis currently undergoing radiation; patients with brain metastasis representing the sole site of disease are not eligible for this study; patients with previously treated brain metastasis who have responded to brain radiotherapy and/or surgery and continue in response are eligible provided the brain is not the only site of measurable disease|Patients must not have peripheral neuropathy of any grade|Patients must not have a history of prior severe (grade 3 or 4) hypersensitivity reaction to a drug formulated in polyoxyethylated castor oil (Cremophor EL)|Patients must have left ventricular ejection fraction by MUGA scan or echocardiogram that is at or above the lower institutional limits of normal obtained within 6 weeks prior to registration|Patients must not have a history of New York Heart Association class 3 or 4 heart failure|Serum creatinine =< 1.5 mg/dl|Granulocytes >= 1500/mm^3|Platelets >= 100,000/mm^3|SGOT(AST) and SGPT(ALT) =< 1.5 x upper limit of normal (unless liver is involved by tumor, in which case SGOT(AST) and SGPT(ALT) can be =< 2.0 x upper limit of normal)|Patients must have no history of prior therapy with trastuzumab (Herceptin), Ixabepilone (BMS-247550) or carboplatin for metastatic disease; patients who develop metastatic disease =< 6 months after completing adjuvant trastuzumab (Herceptin), paclitaxel, docetaxel, carboplatin, or Ixabepilone (BMS-247550) are considered to have had prior therapy for metastatic disease and are excluded from study participation|Patients must not have received a cumulative dose of doxorubicin of greater than 360 mg/m^2 or epirubicin of greater than 640 mg/m^2|Concurrent use of hormonal therapy is not permitted; concurrent radiation therapy is not permitted; hormonal therapy must have been discontinued >= 1 week prior to registration; radiation therapy must have been completed >= 2 weeks prior to registration|Patients may have had prior radiation therapy, but the previously irradiated tumors cannot be used to assess a clinical response; patients will not be eligible if they do not have other areas of measurable disease; an exception will be given for patients who have had tumor recurrence in an area that received adjuvant radiation treatments, such as the axilla or chest wall"
768,NCT00496379,No,Female,18,,"Inclusion Criteria:||Patients must have histologically or cytologically invasive breast cancer, with metastatic disease at the time of screening|Measurable Central Nervous System (CNS) disease, as defined as at least one lesion > or equal too 10mm in longest dimension|New or progressive CNS lesions after at least one prior standard CNS-directed therapy for treatment of brain metastases, which could include surgical resection, whole brain radiotherapy (WBRT), and/or stereotactic radiosurgery (SRS). Patients must have received prior WBRT, SRS or both.|Patient has been evaluated by a radiation oncologist, who feels that the plan to evaluate systemic chemotherapy in place of additional brain radiotherapy is an acceptable option|No increase in corticosteroid use in the week prior to study entry|Any number prior lines of chemotherapy for metastatic breast cancer|18 years of age of older|Life expectancy of greater than 12 weeks|ECOG Performance Status 0-2|Patients must have normal organ function as outlined in the protocol||Exclusion Criteria:||Patients who have had chemotherapy within 3 weeks prior to entering the study or those who have not recovered from adverse events due to agents administered more than 3 weeks earlier|Patients who have had XRT within 3 weeks prior to entering the study or those who have not recovered from adverse events due to XRT|Patients may not be receiving any other investigational agent|Patients may not be receiving any cancer-directed therapy|Prior treatment with investigational chemotherapy for brain metastases|Prior treatment with epothilone for metastatic breast cancer|Leptomeningeal carcinomatosis as the only site of CNS involvement.|Concurrent treatment with an enzyme inducing antiepileptic drug, including phenytoin, carbamezepine, phenobarbital, or oxacarbazepine|More than 2 seizures over the last four weeks prior to study entry|Known contraindication to MRI or gadolinium contrast, such as cardiac pacemaker, ocular foreign body, or shrapnel|Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements|Pregnant or breastfeeding women."
769,NCT01047774,No,Female,21,99,"Inclusion Criteria:||Women diagnosed with breast cancer and scheduled for elective breast cancer surgery (excluding breast biopsy) with axillary lymph node dissection (total and/or sentinel node excision).|Women who are 21 years or older.||Exclusion Criteria:||History of significant heart, gastro-intestinal, liver or kidney disease.|Use of the anticoagulant, warfarin or Coumadin.|Malabsorption of any kind.|Diagnosed lactase deficiency.|Known allergy to any of the tested dietary products.|Basic daily consumption of soy protein in quantities exceeding 10 g/day.|Women who are strict vegetarians (i.e. no animal derived dietary sources).|The use of the following narcotics or adjuvant pharmacotherapy: opioids, anticonvulsants, antidepressants and steroids (except antidepressant use specifically for depression).|Tumour size (if known) > 3cm(i.e. size before pre-operative chemotherapy, if administered).|Locally advanced breast cancer.|Inflammatory breast cancer.|Paget's disease of the breast with palpable mass.|Suspected metastasis.|Suspected micrometastasis.|Previous breast surgery of any kind (except needle biopsy).|The need for bilateral breast surgery.|The existence of other known cancer, including metastasis, either in the other breast or elsewhere.|Previous or current endocrine cancer therapy (e.g. selective estrogen receptor modulators, aromatase inhibitor).|Body mass index (BMI) > 35."
770,NCT00999921,No,Female,16,,"Inclusion Criteria:||Clinical, Radiographic and Histological diagnosis of Benign Breast Disease.|Benign Breast disease amenable to hormonal therapy.||Exclusion Criteria:||Postmenopausal women.|Premenopausal women with pregnancy or other contraindications to tamoxifen.|Girls less than 16 years.|Very large lesions which require surgery for cosmesis.|High risk breast lesions like epitheliosis, atypia or atypical hyperplasia on histopathology or susceptible lesions prone to develop malignancy.|Lesions like duct ectasia where hormone therapy is not likely to be of benefit.|Inflammatory lesions which are amenable to antibiotic therapy or surgical drainage for treatment.|Patients unwilling to undergo treatment."
771,NCT00047255,No,Female,18,75,"DISEASE CHARACTERISTICS:||Histologically or cytologically confirmed adenocarcinoma of the breast||Stage IIIB, IIIC, or IV|HER2-positive||Measurable or evaluable disease||Patients with osteolytic bone lesions as only site of disease must have at least 2 lytic sites confirmed by bone x-ray, MRI, or CT scan||None of the following are eligible as only manifestation of metastatic disease:||Blastic bone metastases|Mixed bone metastases|Lymphangitic carcinomatosis|Ascites|Pleural/pericardial effusion|Lymphangitis cutis/pulmonis|Inflammatory breast disease|Abdominal masses not confirmed and followed by imaging techniques|Cystic lesions|No prior or known concurrent clinical manifestation of brain or leptomeningeal involvement||Hormone receptor status:||Not specified||PATIENT CHARACTERISTICS:||Age||18 to 75||Sex||Female||Menopausal status||Pre- or post-menopausal||Performance status||Karnofsky 60-100%||Life expectancy||Not specified||Hematopoietic||Neutrophil count at least 2,000/mm3|Platelet count at least 100,000/mm3|Hemoglobin at least 10 g/dL||Hepatic||Bilirubin no greater than upper limit of normal (ULN)|AST and ALT no greater than 5 times ULN|Alkaline phosphatase no greater than 5 times ULN (unless due to bone metastases or any nonmalignant bone disease and in absence of liver disorders)|AST and/or ALT greater than 1.5 times ULN AND alkaline phosphatase greater than 2.5 times ULN ineligible||Renal||Creatinine no greater than 2 mg/dL|Creatinine clearance at least 60 mL/min||Cardiovascular||LVEF normal by MUGA or echocardiogram|No myocardial infarction within the past year|No unstable angina pectoris|No documentation of congestive heart failure|No concurrent grade 3 or 4 cardiovascular arrhythmia|No poorly controlled hypertension (i.e., diastolic pressure greater than 100 mmHg)||Pulmonary||No severe dyspnea due to complications of advanced malignancy|No respiratory insufficiency requiring supplemental oxygen||Other||No significant neurologic or psychiatric disorders (e.g., psychotic disorders, dementia, or seizures) that would preclude study|No pre-existing sensory or motor neuropathy grade 2 or greater|No other serious illness or medical condition|No active uncontrolled infection|No active peptic ulcer disease|No unstable diabetes mellitus||No other prior or concurrent malignancy except for:||Curatively treated nonmelanoma skin cancer|Carcinoma in situ of the cervix|Other curatively treated cancer and disease free for at least 10 years|No known allergic reactions to study drugs|No contraindications for the use of corticosteroids|Not pregnant or nursing|Negative pregnancy test|Fertile patients must use effective contraception||PRIOR CONCURRENT THERAPY:||Biologic therapy||See Chemotherapy|No prior trastuzumab (Herceptin) for locally advanced or metastatic disease|Prior trastuzumab-containing regimen (except with taxane) as adjuvant or neoadjuvant therapy allowed provided relapse occurred at least 6 months after therapy||Chemotherapy||No prior chemotherapy for locally advanced or metastatic disease or local recurrence|No prior chemotherapy with anthracycline or anthracenedione regimens with cumulative doses of more than 360 mg/m2 of doxorubicin, 720 mg/m2 of epirubicin, or 72 mg/m2 of mitoxantrone|No prior platinum-containing regimen as adjuvant or neoadjuvant chemotherapy|At least 4 weeks since prior anthracyclines or anthracenediones|Prior taxanes as adjuvant or neoadjuvant chemotherapy allowed provided relapse occurred at least 6 months after therapy|Prior taxane with trastuzumab as adjuvant or neoadjuvant chemotherapy allowed provided relapse occurred at least 12 months after therapy|No concurrent amifostine||Endocrine therapy||Prior hormonal therapy in the adjuvant or metastatic setting allowed provided patient has progressive disease and therapy has stopped before study entry|Concurrent chronic corticosteroids allowed if initiated more than 6 months before study entry and at a low dose (no greater than 20 mg methylprednisolone or equivalent)|No concurrent raloxifene, tamoxifen, or other selective estrogen receptor modulators|No concurrent hormonal therapy||Radiotherapy||No prior radiotherapy to study lesion unless clear progression|At least 4 weeks since prior radiotherapy (unless radiotherapy involved only a single field to treat a single metastatic bone lesion)|Concurrent radiotherapy for palliative treatment allowed||Surgery||Not specified||Other||Recovered from prior antitumor therapy|At least 30 days since prior experimental drugs|No other concurrent experimental drugs|No other concurrent anticancer therapy||No concurrent bisphosphonates if osteolytic bone metastases are only site of disease||If receiving concurrent bisphosphonates other than for bone metastases only, must have been started at least 3 months before study entry|No concurrent primary prophylactic antibiotics|No concurrent cardioprotectors (e.g., dexrazoxane)"
772,NCT00866905,No,Female,18,,"Inclusion Criteria:||Female patients, age ≥18 years.|Histologically confirmed invasive adenocarcinoma of the breast.||Primary palpable disease confined to a breast and axilla on||physical examination. For patients without clinically suspicious||axillary adenopathy, the primary tumor must be larger than 2 cm||in diameter by physical exam or imaging studies (clinical T2-T3,||N0-N1, M0). For patients with clinically suspicious axillary||adenopathy, the primary breast tumor can be any size (clinical||T1-3, N1-2, M0). (T1N0M0 lesions are excluded.)||Patients without clearly defined palpable breast mass or axillary||lymph nodes but radiographically measurable tumor masses are||acceptable. Accepted procedures for measuring breast disease||are mammography, MRI, and breast ultrasound. This will need to||be re-evaluated after 3 cycles and prior to surgery.||Eastern Cooperative Oncology Group performance status (ECOG||PS) 0-2.||No metastatic disease, as documented by complete staging workup||6 weeks prior to initiation of study treatment.|No previous treatment for breast cancer.||HER2-negative tumor status. HER2-negative is defined as:||Immunohistochemical (IHC) 0, IHC 1+ OR|IHC 2+ or IHC 3+ must be confirmed as FISH (fluorescence in situ||hybridization) negative (defined by ratio <2.2).||Adequate hematologic function with:||Absolute neutrophil count (ANC) >1500/μL.|Platelets ≥100,000/μL.|Hemoglobin ≥10 g/dL.||Adequate hepatic function with:||Serum bilirubin ≤ the institutional upper limit of normal (ULN).|Aspartate aminotransferase (AST) ≤2.5 x institutional ULN.|Alanine aminotransferase (ALT) ≤2.5 x institutional ULN.|Adequate renal function with serum creatinine ≤1.5 x ULN.||Estrogen and progesterone receptor status in the primary tumor||known or pending at the time of study registration.||Knowledge of the investigational nature of the study and ability to||provide consent for study participation.||For patients who had, or will have sentinel lymph node and/or||axillary dissection prior to initiation of study treatment, completion||at least 4 weeks prior to starting study treatment and well-healed||wound||Bilateral, synchronous breast cancer is allowed if one primary||tumor meets the inclusion criteria.||Sufficient archived breast tumor specimen available at baseline||for the Oncotype DX assay.||-||Exclusion Criteria:||Inflammatory breast cancer.||Peripheral neuropathy (motor or sensory) ≥ grade 1 by the||Common Terminology Criteria for Adverse Events version 3.0||(CTCAE v 3.0).||Prior radiation that included ≥30% of major bone marrow containing||areas (pelvis, lumbar, spine).||Chronic use of cytochrome P450 (CYP) 3A4 inhibitors and use of||the following strong CYP3A4 inhibitors: ketoconazole,||itraconazole, clarithromycin, atazanavir, nefazodone, saquinavir,||telithromycin, ritonavir, amprenavir, indinavir, nelfinavir,||delavirdine, and voriconazole. Use of these agents should be||discontinued at least 72 hours prior to initiation of study treatment.||Chemotherapy within 5 years of starting study treatment except||for low doses of agents used for anti-inflammatory indications||such as rheumatoid arthritis, psoriasis, and connective tissue||disorders. Although such doses and schedules cannot result in||myelosuppression, patients must discontinue this therapy while||they are receiving study treatment.||Known or suspected hypersensitivity to Cremophor®EL||(polyoxyethylated castor oil) or a drug formulated in||Cremophor®EL such as paclitaxel, or any other agent given in the||course of this study.||Pregnancy or breast-feeding. A negative serum pregnancy test||within 7 days prior to first study treatment (Day 1, Cycle 1) for all||women of childbearing potential is required. Patients of||childbearing potential must agree to use a birth control method||that is approved by their study physician while receiving study||treatment and for 3 weeks after their last dose of study treatment.||Patients must agree to not breast-feed while receiving study||treatment.||Concurrent treatment with an ovarian hormonal replacement||therapy or with hormonal agents such as raloxifene, tamoxifen or||other selective estrogen receptor modulator (SERM). Patients||must have discontinued use of such agents prior to beginning||study treatment.||History of malignancy treated with curative intent within the||previous 5 years with the exception of skin cancer, cervical||carcinoma in situ, or follicular thyroid cancer. Patients with||previous invasive cancers (including breast cancer) are eligible if||the treatment was completed more than 5 years prior to initiating||current study treatment, and there is no evidence of recurrent||disease.||Uncontrolled intercurrent illness including (but not limited to)||ongoing or active infection.||Chronic treatment with corticosteroid unless treatment was begun||>6 months prior to study treatment and is at a low dose (≤20 mg||methylprednisolone or equivalent).||Use of any investigational agent within 30 days of administration||of the first dose of study drug.||Requirement for radiation therapy concurrent with neoadjuvant||study chemotherapy.||Concurrent treatment with any anti-cancer therapy other than||those agents used in this study.||Inability or unwillingness to comply with study procedures||including follow-up visits.||Mental condition or psychiatric disorder that would prevent patient||comprehension of the nature, scope, and possible consequences||of the study or that would limit compliance with study||requirements.||Any other disease(s), metabolic dysfunction, or findings from a||physical examination or clinical laboratory test result that would||cause reasonable suspicion of a disease or condition that||contraindicates the use of study drugs, that may affect the||interpretation of the results, or that renders the patient at high risk||from treatment complications||-"
773,NCT01796444,No,Female,18,70,"Inclusion Criteria:||Female;|Patient aged 18 years and above;|Patient with histological proven invasive breast cancer;|Clinical T1-T2 disease with no distant metastasis;|Patient with clinical N0 status;|Patient for whom conservative surgery with sentinel lymph node (SLN) technique is feasible from the start in terms of carcinologic;|Patient with positive SLNs 1~2;|Signed consent to participate.||Exclusion Criteria:||History of neoadjuvant chemotherapy or hormone therapy;|History of breast cancer (ipsilateral, i.e. recurrence, or contralateral breast);|History of any other invasive cancer;|Initial metastatic disease known;|Pregnant women or lactating women;|Impossibility to undergo medical examinations of the study for geographical, social or psychological reasons."
774,NCT01783756,No,All,18,,"Inclusion Criteria:||Patients with HER2+ (immunohistochemistry [IHC] 3+ or fluorescence in situ hybridization [FISH]+ R/G > 2.0 or silver-enhanced in situ hybridization [SISH]+ HER2/chromosome 17 centromere [CEP17] > 2.0) breast cancer with documented central nervous system (CNS) recurrence or progression|Must have received trastuzumab (neoadjuvant, adjuvant or metastatic setting)|At least one measurable lesion in the brain (>= 10 mm on T1-weighted, gadolinium-enhanced magnetic resonance imaging [MRI]); (prior neurosurgical resection, whole brain radiation or stereotactic radiation therapy is allowed provided the patient has a measurable CNS progression [at least one new and/or progressive measurable brain metastasis]; measurable or non-measurable extracranial metastases allowed)|Concurrent steroids allowed (up to equivalent of prednisone 20 mg daily, on taper or stable dose for at least 2 weeks)|Life expectancy of >= 12 weeks|Previous treatment with other HER2 targeted agents allowed; (previous treatment with HER2 inhibitors and investigational drugs to be discontinued prior to starting study treatment [at least 21 days for trastuzumab and other antibodies; at least 14 days for lapatinib; at least 5 half-lives for other agents])|Previous chemotherapy (adjuvant and metastatic regimens) and hormonal therapy allowed, but chemotherapy must have been discontinued at least 21 days prior to starting study treatment and hormonal therapy at least 7 days prior to starting study treatment; patients must have recovered from acute Common Terminology Criteria for Adverse Events (CTCAE) v 4.0 grade >= 2 side effects of previous treatments|At least 2 weeks since prior radiotherapy or stereotactic radiosurgery, and 4 weeks since prior major surgery at time of study enrollment|Eastern Cooperative Oncology Group (ECOG) performance status =< 2|Absolute neutrophil count (ANC) >= 1.5 x 10^9/L|Platelets >= 100 x 10^9/L|Hemoglobin (Hb) >= 9 g/dL|Serum bilirubin =< 1.5 x upper limit of normal (ULN) (=< 3.0 if Gilbert's syndrome)|Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) =< 2.5 x ULN (=< 5 x ULN in patients with liver metastases)|International normalized ratio (INR) =< 1.5|Adequate renal function: serum creatinine =< 1.5 x ULN|Fasting serum cholesterol =< 300 mg/dL OR =< 7.75 mmol/L AND fasting triglycerides =< 2.5 x ULN; NOTE: In case one or both of these thresholds are exceeded, the patient can only be included after initiation of appropriate lipid lowering medication|Signed informed consent|Age >= 18 years||Exclusion Criteria:||Patients who have never received trastuzumab|Prior treatment with an mammalian target of rapamycin (MTOR) inhibitor (including everolimus, sirolimus, temsirolimus)|Leptomeningeal carcinomatosis as only site of CNS disease|Subjects who have current active hepatic or biliary disease (with exception of patients with Gilbert's syndrome, asymptomatic gallstones, liver metastases or stable chronic liver disease per investigator assessment)|Patients with clinically significant interstitial lung disease or history of cardiac disease|Patients, who have had a major surgery or significant traumatic injury within 4 weeks of start of study drug, patients who have not recovered from the side effects of any major surgery (defined as requiring general anesthesia) or patients that may require major surgery during the course of the study|Prior treatment with any investigational drug within the preceding 4 weeks prior to starting study drug|Patients receiving chronic, systemic treatment with corticosteroids (more than 20 mg/day prednisone equivalent, see inclusion criteria) or another immunosuppressive agent; topical or inhaled corticosteroids are allowed|Patients should not receive immunization with attenuated live vaccines within one week of starting study drug or during study period; close contact with those who have received attenuated live vaccines should be avoided during treatment with everolimus; examples of live vaccines include intranasal influenza, measles, mumps, rubella, oral polio, Bacillus Calmette-Guérin (BCG), yellow fever, varicella and typhoid vaccine live oral (TY)21a typhoid vaccines|Other malignancies within the past 3 years except for adequately treated carcinoma of the cervix or basal or squamous cell carcinomas of the skin||Patients who have any severe and/or uncontrolled medical conditions or other conditions that could affect their participation in the study such as:||Symptomatic congestive heart failure of New York heart Association class III or IV|Unstable angina pectoris, symptomatic congestive heart failure, myocardial infarction within 6 months of start of study drug, serious uncontrolled cardiac arrhythmia, left ventricular ejection fraction (LVEF) < 50% or any other clinically significant cardiac disease|Severely impaired lung function as defined as spirometry and diffusion capacity of the lung of carbon monoxide (DLCO) that is 50% of the normal predicted value and/or oxygen (02) saturation that is 88% or less at rest on room air|Uncontrolled diabetes as defined by fasting serum glucose > 1.5 x ULN (Note: optimal glycemic control should be achieved before starting trial therapy)|Active (acute or chronic) or uncontrolled severe infections|Liver disease such as cirrhosis or severe hepatic impairment (Child-Pugh class C)|Note: A detailed assessment of hepatitis B/C medical history and risk factors must be done at screening for all patients; hepatitis B virus (HBV) deoxyribonucleic acid (DNA) and hepatitis C ribonucleic acid polymerase chain reaction (HCV RNA PCR) testing are required at screening for all patients with a positive medical history based on risk factors and/or confirmation of prior HBV/HCV infection; patients with positive results for HBV/HCV infection will be allowed in this study provided monitoring and prophylactic treatment are followed|A known history of human immunodeficiency virus (HIV) seropositivity|Impairment of gastrointestinal function or gastrointestinal disease that may significantly alter the absorption of everolimus/lapatinib (lapatinib ditosylate) (e.g., ulcerative disease, uncontrolled nausea, vomiting, diarrhea, malabsorption syndrome or small bowel resection)|Patients with an active, bleeding diathesis|Patients on warfarin (patients on injectable blood thinners, such as Lovenox, are able to continue those)|Female patients who are pregnant or breast feeding, or adults of reproductive potential who are not using effective birth control methods; adequate contraception must be used throughout the trial and for 8 weeks after the last dose of study drug, by both sexes; (women of childbearing potential must have a negative urine or serum pregnancy test within 7 days prior to administration of study drug)|Male patient whose sexual partner(s) are women of childbearing potential (WOCBP) who are not willing to use adequate contraception, during the study and for 8 weeks after the end of treatment|Patients with a known hypersensitivity to everolimus or other rapamycins (e.g., sirolimus, temsirolimus) or to its excipients|History of noncompliance to medical regimens|Patients unwilling to or unable to comply with the protocol"
775,NCT01250379,No,Female,18,,"Inclusion Criteria:||Female patients, >/= 18 years of age|Histologically confirmed HER2-negative breast cancer|Disease progression during or following first-line treatment with Avastin and chemotherapy for locally recurrent or metastatic breast cancer|Avastin treatment in first-line setting must have been a minimum of 4 cycles (15 mg/kg) or 6 cycles (10 mg/kg) in combination with chemotherapy|ECOG performance status 0-2|At least 28 days since prior radiation therapy or surgery and recovery from treatment||Exclusion Criteria:||Anti-angiogenic therapy or anti-vascular endothelial growth factors other than Avastin for first-line treatment|Active malignancy other than superficial basal cell and superficial squamous cell carcinoma of the skin, or in situ carcinoma of the cervix or breast within the last 5 years|Inadequate renal function|Clinically relevant cardio-vascular disease|Known CNS disease except for treated brain metastases|Chronic daily treatment with high-dose aspirin (>325 mg/day) or clopidogrel (>75 mg/day)|Pregnant or lactating women"
776,NCT01069211,No,Female,,,"Inclusion Criteria:||Patients with estrogen receptor(+) and/or progesterone receptor(+)||Postmenopausal state was defined the following conditions, at least one of a, b||Serum FSH ≥ 30 mIU/mL and Amenorrhea ≥ 1 year for below 55 years, over than 55 years|Bilateral oophorectomy|Patients have undergone surgery of the breast cancer within 12 weeks and terminated chemotherapy after surgery within 4 weeks.|WHO(ECOG) performance status 0-2|Adequate haematological function, renal function, hepatic function.|No evidence of metastasis.||Exclusion Criteria:||Metachronous bilateral breast cancer.|Metastatic breast cancer (stage IV)|Other hormone therapy and Hormonal replacement therapy given within the previous 4 weeks, except for Estring, Vagifem, Estrogen Cream.|Patients with Child-Pugh grade C, serum creatinine>2xUNL|Patients with gastrectomy, small bowel resection, malabsorption syndrome and dysphagia."
